YEAR,WEEK,NUMBER,RESULT
2018,38,5,0
2017,39,3,0
2010,25,1,0
2008,32,4,0
2018,23,1,0
2007,28,2,0
2018,26,47,0
2007,27,6,0
2014,30,8,0
2015,28,26,0
2011,29,8,0
2018,35,4,0
2007,23,1,0
2012,34,2,0
2018,30,2,0
2008,23,1,0
2011,31,5,0
2011,37,1,0
2008,36,7,1
2009,24,3,0
2015,38,8,0
2009,23,1,0
2007,29,21,0
2007,38,5,0
2008,30,1,0
2011,36,1,0
2009,22,2,0
2013,27,2,0
2010,27,3,0
2013,26,8,0
2010,28,38,0
2010,34,2,0
2011,28,2,0
2015,32,8,0
2007,24,4,0
2007,31,1,0
2015,25,1,0
2010,33,1,0
2012,29,16,1
2017,33,37,0
2017,29,1,0
2009,23,4,0
2010,27,20,0
2007,32,43,0
2008,29,1,0
2012,33,2,0
2016,25,1,0
2011,30,3,0
2014,36,25,0
2010,26,15,0
2007,33,2,0
2008,32,2,0
2007,36,1,0
2018,30,2,0
2016,37,50,1
2010,37,1,0
2018,33,14,0
2009,32,1,0
2016,30,50,1
2007,22,1,0
2007,32,31,0
2014,29,1,0
2010,33,2,0
2007,34,50,0
2010,30,1,0
2018,31,15,0
2010,30,20,0
2007,33,4,0
2011,27,9,0
2015,26,1,0
2007,33,8,1
2009,38,1,0
2014,23,6,0
2012,33,11,0
2016,36,1,0
2014,33,17,0
2008,34,50,0
2010,33,10,0
2014,29,1,0
2007,28,3,0
2014,32,2,1
2014,30,1,0
2008,27,2,0
2013,24,4,0
2007,37,1,0
2013,27,50,0
2013,29,2,0
2008,24,4,0
2007,29,11,0
2007,26,1,0
2007,36,2,0
2007,33,9,0
2010,26,1,0
2009,30,15,0
2011,34,1,0
2008,33,4,0
2015,30,18,0
2011,34,1,0
2009,24,11,0
2015,25,2,0
2009,23,1,0
2017,26,1,0
2013,24,14,0
2010,37,1,0
2015,32,9,0
2015,30,3,0
2009,27,36,0
2007,29,50,0
2012,31,10,0
2010,29,3,0
2015,34,2,0
2018,23,1,0
2012,37,2,0
2010,29,1,0
2008,39,2,0
2017,29,1,0
2014,24,14,0
2007,33,50,0
2010,36,1,0
2007,33,50,0
2018,34,1,0
2015,30,4,0
2012,29,30,0
2008,32,2,0
2008,28,3,0
2013,24,17,0
2007,31,9,0
2018,24,3,0
2008,38,10,0
2008,32,15,0
2011,27,8,0
2009,29,2,0
2014,27,9,0
2015,26,4,0
2009,21,23,0
2009,21,10,0
2018,24,26,0
2007,34,14,0
2017,32,6,0
2007,31,2,0
2012,32,2,0
2009,37,24,0
2013,38,1,0
2013,37,19,0
2011,36,1,0
2010,36,1,0
2008,33,3,0
2008,34,50,0
2015,36,1,0
2009,36,10,0
2013,29,23,0
2010,37,3,0
2010,25,23,0
2007,39,3,0
2011,29,1,0
2013,34,28,0
2009,28,1,0
2008,34,4,0
2016,35,22,0
2008,33,50,0
2008,27,2,0
2016,30,50,1
2016,37,2,0
2007,27,16,0
2016,37,14,0
2011,26,4,0
2011,38,1,0
2007,34,50,0
2012,35,1,0
2016,24,16,0
2012,23,2,0
2007,36,15,0
2013,31,50,0
2008,31,8,0
2008,36,4,0
2010,32,3,0
2010,28,24,0
2008,30,6,0
2010,23,1,0
2015,22,1,0
2012,30,41,1
2007,31,1,0
2012,33,2,0
2018,26,1,0
2009,30,3,0
2017,26,6,0
2018,27,2,0
2010,31,2,0
2014,33,11,0
2008,30,2,0
2016,34,11,1
2016,34,3,0
2010,31,1,0
2015,27,1,0
2016,39,7,0
2014,25,39,0
2017,38,1,0
2009,38,10,0
2007,32,49,1
2008,25,4,0
2012,26,9,0
2014,29,1,0
2011,31,21,0
2009,34,1,0
2012,39,1,0
2013,28,48,0
2016,33,2,0
2007,26,8,0
2007,33,19,0
2018,28,1,0
2012,26,21,0
2013,24,16,0
2013,28,24,0
2014,36,3,0
2013,29,2,0
2008,36,50,0
2013,30,27,0
2011,35,1,0
2018,23,2,0
2017,24,32,0
2009,33,2,0
2010,34,3,0
2009,30,10,0
2008,35,1,0
2017,29,6,0
2014,33,2,0
2018,33,7,0
2014,30,3,0
2012,30,50,1
2007,29,46,0
2011,39,3,0
2010,28,12,0
2010,24,25,0
2015,25,8,0
2017,28,18,0
2007,31,36,0
2013,39,1,0
2013,31,7,0
2008,27,3,0
2014,31,50,0
2014,27,10,0
2009,27,6,0
2011,30,3,0
2013,23,2,0
2011,37,9,0
2008,29,26,0
2010,25,2,0
2008,39,1,0
2007,30,3,0
2007,34,11,0
2009,23,3,0
2017,38,1,0
2009,30,1,0
2013,28,27,1
2014,32,4,0
2007,33,1,0
2011,34,1,0
2009,31,11,0
2008,36,6,0
2013,35,6,0
2013,35,10,0
2009,22,1,0
2014,35,40,1
2007,30,1,0
2018,23,3,0
2012,26,1,0
2012,38,1,0
2015,33,3,0
2009,37,7,0
2016,30,23,0
2008,31,8,0
2010,37,1,0
2011,33,1,0
2015,31,3,0
2007,30,2,0
2012,30,25,1
2007,31,44,1
2015,26,5,0
2013,32,5,1
2012,32,2,0
2015,39,1,0
2011,30,1,0
2010,25,1,0
2011,30,16,0
2014,37,1,0
2014,25,8,0
2014,34,50,0
2012,28,50,0
2008,24,2,0
2007,24,3,0
2013,38,2,0
2008,35,1,0
2016,31,50,1
2017,34,4,0
2018,26,4,0
2008,26,1,0
2016,31,10,0
2009,26,2,0
2012,33,2,0
2009,38,4,0
2007,30,50,0
2010,36,1,0
2012,29,16,0
2015,34,4,1
2016,39,5,0
2007,26,1,0
2011,28,4,0
2010,29,2,0
2013,32,48,1
2015,32,1,0
2015,29,2,0
2013,32,3,0
2015,31,12,0
2011,24,4,0
2010,33,1,0
2012,28,24,0
2011,23,1,0
2013,38,3,0
2008,32,3,0
2007,39,9,0
2011,26,14,0
2013,34,15,1
2018,26,4,0
2015,34,2,0
2018,38,6,0
2007,31,50,0
2007,33,3,0
2007,29,1,0
2007,30,5,0
2018,25,11,0
2007,35,50,0
2015,38,1,0
2013,31,1,0
2008,24,4,0
2012,30,50,1
2010,31,1,0
2017,29,14,0
2012,27,50,0
2013,33,7,1
2014,32,3,0
2007,27,8,0
2013,30,30,0
2013,28,35,0
2009,31,3,0
2009,33,3,0
2015,30,2,0
2013,27,6,0
2014,33,45,0
2013,29,9,0
2010,34,1,0
2010,37,19,0
2008,24,1,0
2016,34,14,0
2013,29,42,0
2007,35,50,0
2008,24,7,0
2015,28,3,0
2015,27,1,0
2014,31,9,0
2009,26,1,0
2011,29,50,0
2014,39,5,0
2009,20,1,0
2018,31,1,0
2011,27,4,0
2015,31,3,0
2018,28,5,0
2014,34,1,0
2010,29,50,0
2016,38,41,0
2014,29,4,0
2014,32,2,0
2010,31,2,0
2013,29,44,0
2016,30,50,0
2008,37,3,0
2010,24,1,0
2007,28,50,0
2007,36,4,0
2016,34,2,0
2015,32,2,0
2009,38,2,0
2016,36,17,0
2010,28,2,0
2009,23,12,0
2018,37,9,0
2009,38,1,0
2007,35,1,0
2011,24,1,0
2015,30,6,0
2007,33,21,0
2010,30,1,0
2010,28,2,0
2011,26,11,0
2012,26,4,0
2009,31,13,0
2013,34,21,0
2014,26,3,0
2018,38,2,0
2010,34,3,0
2014,35,27,0
2011,31,5,0
2014,33,50,0
2012,27,1,0
2007,34,2,0
2007,33,18,0
2015,29,1,0
2010,31,3,0
2012,26,2,0
2007,26,1,0
2014,24,17,0
2016,29,12,0
2014,23,5,0
2007,35,2,0
2013,31,24,0
2015,31,20,0
2011,25,4,0
2008,36,2,0
2016,31,3,0
2011,31,6,0
2015,34,6,0
2016,31,42,1
2010,35,10,0
2018,29,18,0
2011,26,3,0
2013,29,12,0
2013,25,2,0
2018,28,8,0
2014,36,5,0
2008,26,2,0
2010,38,2,0
2010,28,1,0
2013,26,7,0
2014,27,24,0
2014,31,15,0
2011,26,3,0
2008,29,5,0
2010,36,2,0
2016,38,27,0
2012,34,6,0
2007,28,2,0
2014,34,12,0
2012,30,2,0
2017,33,1,0
2014,23,1,0
2010,23,1,0
2010,30,6,0
2017,31,4,0
2016,31,25,1
2008,35,1,0
2018,26,3,0
2018,32,8,0
2016,26,6,0
2007,28,2,0
2014,36,17,1
2016,34,14,1
2010,28,6,0
2008,35,7,0
2015,30,24,0
2008,31,8,0
2009,27,1,0
2016,33,1,0
2007,37,21,0
2010,37,1,0
2013,25,6,0
2007,32,43,0
2015,32,3,0
2014,39,5,0
2013,34,27,0
2014,29,7,0
2016,34,16,0
2018,33,3,0
2015,33,10,0
2008,36,8,0
2012,32,5,0
2012,29,4,0
2010,29,1,0
2013,29,19,0
2015,25,1,0
2008,30,3,0
2012,32,26,1
2018,33,1,0
2008,28,2,0
2016,32,48,1
2010,27,1,0
2018,29,1,0
2007,31,3,0
2008,37,2,0
2016,26,18,0
2012,37,6,0
2017,28,15,0
2012,39,1,0
2015,31,7,0
2010,24,1,0
2014,33,50,1
2013,34,3,0
2008,36,29,0
2017,29,9,0
2013,38,22,0
2007,32,1,0
2009,38,9,0
2011,27,37,0
2018,33,24,0
2007,32,50,1
2013,35,50,0
2011,28,2,0
2014,38,3,0
2007,30,2,0
2007,29,3,0
2011,28,47,0
2016,39,29,0
2012,36,6,0
2008,35,1,0
2011,34,1,0
2014,26,31,0
2007,35,1,0
2008,34,4,0
2007,33,1,0
2013,32,37,0
2017,29,9,0
2016,33,4,1
2016,30,5,0
2007,34,50,0
2010,29,44,0
2010,37,1,0
2008,39,13,0
2007,34,3,0
2012,31,5,0
2013,26,1,0
2007,25,2,0
2013,33,23,0
2016,32,10,0
2015,29,4,0
2010,29,1,0
2016,31,41,1
2010,29,4,0
2014,27,2,0
2007,32,9,0
2009,28,14,0
2009,38,23,0
2007,32,20,1
2007,35,2,0
2013,24,2,0
2010,33,1,0
2014,34,40,0
2010,33,3,0
2012,33,21,0
2013,32,4,0
2007,25,3,0
2015,29,1,0
2012,27,1,0
2008,33,3,0
2007,30,6,0
2007,22,10,0
2014,31,4,0
2010,23,1,0
2016,29,4,0
2009,36,21,0
2014,29,4,0
2010,28,32,0
2010,27,14,0
2013,39,6,0
2017,39,1,0
2009,37,1,0
2016,27,43,0
2008,35,32,1
2016,32,11,0
2007,39,45,0
2018,26,6,0
2012,29,50,1
2007,29,1,0
2008,38,1,0
2008,25,2,0
2013,30,1,0
2007,33,1,0
2018,25,19,0
2011,33,1,0
2015,33,1,0
2015,26,6,0
2011,39,2,0
2012,28,47,0
2007,29,50,0
2016,32,33,0
2017,31,39,1
2007,35,50,0
2008,35,33,0
2016,26,4,0
2012,28,50,0
2011,39,6,0
2017,34,1,0
2007,29,3,0
2012,36,2,0
2018,24,6,0
2009,25,1,0
2018,27,2,0
2013,29,46,0
2012,27,31,0
2009,21,2,0
2014,34,26,0
2018,27,1,0
2007,37,2,0
2009,28,23,0
2017,32,12,0
2011,29,2,0
2009,27,21,0
2007,28,1,0
2013,32,1,0
2014,33,8,0
2014,37,3,0
2017,32,4,0
2010,36,1,0
2015,39,1,0
2018,35,2,0
2009,38,2,0
2012,38,2,0
2016,32,9,0
2012,25,1,0
2018,30,1,0
2015,28,2,0
2014,38,1,0
2013,29,2,0
2010,23,1,0
2007,34,28,1
2008,30,1,0
2018,38,25,0
2007,29,1,0
2012,33,7,0
2018,27,4,0
2015,32,1,0
2007,27,39,0
2017,37,2,0
2007,37,1,0
2016,30,10,0
2016,38,8,0
2014,30,6,0
2008,39,19,0
2007,37,4,0
2008,30,50,0
2007,24,2,0
2010,34,9,0
2007,28,1,0
2014,33,2,0
2009,21,5,0
2015,35,2,0
2009,34,2,0
2018,28,26,0
2009,36,1,0
2014,39,2,0
2010,27,13,0
2018,27,1,0
2011,25,7,0
2009,36,2,0
2014,34,26,0
2007,31,1,0
2010,38,24,0
2016,32,48,1
2008,28,35,0
2010,35,3,0
2016,33,35,1
2007,29,1,0
2011,37,3,0
2018,25,9,0
2016,38,1,0
2014,27,6,0
2015,23,2,0
2009,24,2,0
2011,34,2,0
2011,32,15,0
2015,28,1,0
2010,33,1,0
2007,29,1,0
2015,38,8,0
2016,36,25,1
2008,33,11,0
2008,39,12,0
2017,29,9,0
2013,25,8,0
2007,26,1,0
2018,39,1,0
2012,31,1,0
2008,23,2,0
2007,33,50,1
2012,28,2,0
2008,37,30,0
2009,29,1,0
2008,34,2,0
2011,31,1,0
2013,30,10,0
2016,37,30,0
2013,39,1,0
2012,29,3,0
2014,33,50,0
2013,39,12,0
2011,29,2,0
2010,29,2,0
2017,36,4,0
2007,35,1,0
2008,34,42,0
2010,25,2,0
2014,27,9,0
2012,27,50,0
2007,32,50,0
2018,33,1,0
2011,26,2,0
2007,35,4,0
2007,30,4,0
2017,28,4,0
2015,23,10,0
2011,27,8,0
2016,34,2,0
2016,23,2,0
2014,31,3,0
2007,22,1,0
2012,30,7,0
2014,25,9,0
2008,27,7,0
2011,29,1,0
2008,24,3,0
2014,40,2,0
2014,24,36,0
2009,23,9,0
2013,26,5,0
2013,27,41,0
2012,29,2,0
2010,34,5,1
2012,26,2,0
2007,24,2,0
2011,38,6,0
2008,33,2,0
2008,25,3,0
2016,27,5,0
2013,37,1,0
2011,33,9,0
2011,30,5,0
2009,29,3,0
2009,29,4,0
2007,38,7,0
2007,27,1,0
2015,25,31,0
2018,26,4,1
2013,37,2,0
2008,39,2,0
2015,36,1,0
2014,29,16,0
2011,37,1,0
2015,25,10,0
2007,26,1,0
2015,24,1,0
2011,31,5,0
2007,32,50,0
2015,28,1,0
2008,37,11,0
2012,30,50,0
2010,31,5,0
2018,30,1,0
2011,25,8,0
2018,24,1,0
2009,30,7,0
2013,38,6,1
2017,36,10,0
2017,26,1,0
2007,27,2,0
2018,32,5,0
2009,20,2,0
2018,27,2,0
2009,28,1,0
2007,38,3,0
2012,37,5,0
2009,29,3,0
2007,34,50,0
2007,22,1,0
2012,31,1,0
2014,37,18,0
2013,36,6,0
2007,28,2,0
2012,28,6,1
2013,31,5,0
2007,31,50,0
2013,33,1,0
2010,26,8,0
2007,33,23,1
2009,23,1,0
2008,32,50,0
2011,30,3,0
2011,36,5,0
2016,27,2,0
2016,35,50,0
2007,29,2,0
2008,33,44,1
2009,28,1,0
2018,31,15,0
2014,33,12,1
2015,32,1,0
2009,39,1,0
2010,29,3,0
2017,32,3,1
2015,28,5,0
2013,36,2,0
2014,35,42,1
2007,28,50,0
2011,27,44,0
2013,32,19,0
2013,31,31,0
2014,31,50,1
2014,32,29,0
2016,31,29,1
2014,36,3,0
2017,23,2,0
2012,28,10,0
2009,25,1,0
2016,31,50,1
2008,26,1,0
2013,35,27,1
2016,36,16,0
2018,29,3,0
2017,26,5,0
2011,26,5,0
2011,34,1,0
2010,24,1,0
2017,24,1,0
2013,28,50,0
2014,31,2,0
2014,36,1,0
2013,27,9,0
2014,23,3,0
2016,24,27,0
2017,34,50,0
2009,36,2,0
2016,36,47,1
2014,29,12,0
2010,33,2,0
2016,33,4,0
2009,31,9,0
2010,29,1,0
2015,25,5,0
2009,32,1,0
2016,33,50,1
2016,34,18,1
2007,33,4,0
2014,30,8,0
2015,37,2,1
2010,33,1,0
2011,27,2,0
2013,35,1,0
2008,30,2,0
2016,33,18,0
2009,28,11,0
2012,27,8,0
2012,27,50,0
2014,33,35,1
2009,21,8,0
2008,34,8,0
2013,27,13,0
2008,30,1,0
2018,34,2,0
2013,35,17,0
2012,32,34,1
2013,31,13,0
2013,33,3,0
2015,22,1,0
2013,33,4,0
2012,31,3,0
2008,28,4,0
2011,36,22,1
2016,36,32,0
2010,32,8,0
2008,25,8,0
2009,29,5,0
2008,34,26,0
2017,24,6,0
2011,35,1,0
2018,28,5,0
2014,36,12,0
2018,29,2,0
2010,26,3,0
2007,30,21,0
2014,32,8,0
2012,37,5,0
2013,38,21,0
2008,30,5,0
2013,26,6,0
2018,28,4,0
2018,34,2,1
2018,36,7,0
2012,25,1,0
2012,36,3,0
2016,34,2,0
2018,28,7,0
2007,35,10,0
2011,39,1,0
2008,30,2,0
2014,27,2,0
2008,27,1,0
2017,37,50,0
2013,32,2,0
2009,34,2,0
2008,33,4,0
2007,39,1,0
2010,29,50,0
2015,35,7,0
2015,28,14,0
2007,31,27,0
2011,25,43,0
2008,25,7,0
2014,30,2,0
2013,31,25,0
2010,27,37,0
2009,28,2,0
2012,32,10,0
2013,34,1,0
2016,31,8,1
2007,28,3,0
2011,34,1,0
2008,27,1,0
2015,29,1,0
2007,30,3,0
2007,34,5,0
2011,34,5,0
2016,26,4,0
2007,27,7,0
2011,27,2,0
2016,31,4,1
2014,24,28,0
2007,28,1,0
2015,29,2,0
2010,32,1,0
2018,26,9,0
2017,23,1,0
2014,30,2,0
2007,29,26,0
2013,32,6,0
2007,26,1,0
2014,34,1,0
2011,30,1,0
2014,34,44,1
2011,24,2,0
2007,27,4,0
2018,34,1,0
2012,29,50,0
2011,29,1,0
2008,32,47,1
2016,33,16,0
2011,24,1,0
2007,32,5,0
2007,33,10,0
2007,33,28,1
2012,37,1,0
2007,25,3,0
2010,30,34,0
2008,31,4,0
2008,34,1,0
2016,37,7,0
2007,38,7,0
2014,34,10,0
2012,35,6,0
2013,29,8,0
2013,30,1,0
2007,39,3,0
2008,34,5,0
2010,28,12,0
2010,37,2,0
2017,38,1,0
2010,29,50,0
2016,31,50,1
2008,37,4,0
2010,39,2,0
2016,35,1,0
2016,36,21,0
2016,36,16,0
2012,33,4,0
2012,29,1,0
2010,35,15,1
2007,28,50,0
2008,33,1,0
2007,35,4,0
2007,32,50,0
2012,31,50,1
2012,33,1,0
2007,33,27,0
2017,28,20,0
2014,36,29,1
2010,29,50,0
2015,36,1,0
2014,36,23,0
2013,38,10,0
2010,23,6,0
2007,35,2,0
2008,33,4,0
2011,29,41,0
2015,37,6,0
2013,36,18,0
2014,37,1,0
2007,39,1,0
2013,25,3,0
2007,29,11,0
2012,28,3,0
2007,36,1,0
2007,29,2,0
2013,32,36,0
2016,27,5,0
2007,39,29,0
2010,39,1,0
2016,39,1,0
2013,34,12,0
2009,32,3,0
2012,33,2,0
2016,36,2,0
2007,31,41,0
2007,32,38,0
2008,36,1,0
2013,36,32,0
2008,36,21,1
2013,28,2,0
2007,34,19,0
2007,34,19,1
2012,39,1,0
2018,32,2,0
2017,30,4,0
2010,28,14,0
2017,38,2,0
2013,35,12,0
2007,37,50,0
2012,25,1,0
2014,29,23,0
2009,32,1,0
2007,30,3,0
2018,28,4,0
2013,32,50,0
2016,29,3,0
2008,36,2,0
2013,27,43,0
2011,30,1,0
2007,26,1,0
2010,31,14,0
2013,38,2,0
2014,24,1,0
2012,23,5,0
2011,38,1,0
2013,35,9,0
2007,38,1,0
2010,31,1,0
2010,38,2,0
2010,28,32,0
2018,36,6,0
2007,29,20,0
2007,32,50,0
2009,29,1,0
2015,29,1,0
2018,35,2,0
2017,25,3,0
2018,32,1,0
2008,33,22,0
2009,35,1,0
2012,38,2,0
2007,29,4,0
2013,29,50,0
2012,30,1,0
2007,37,1,0
2007,29,50,0
2012,28,3,0
2012,23,1,0
2007,34,50,1
2007,37,1,0
2017,34,1,0
2013,36,20,0
2014,36,47,1
2017,30,20,0
2017,30,1,0
2009,27,5,0
2015,31,2,0
2017,37,4,0
2010,27,1,0
2010,29,5,0
2014,37,1,0
2010,29,13,1
2009,25,18,0
2013,35,22,0
2008,23,2,0
2011,26,3,0
2014,27,16,0
2013,33,19,0
2014,36,13,0
2009,29,48,0
2018,31,5,1
2009,29,1,0
2016,31,26,1
2016,39,12,0
2007,37,10,0
2017,36,4,0
2015,33,14,0
2018,35,5,0
2010,31,3,0
2009,21,4,0
2010,30,30,0
2009,37,2,0
2011,38,46,1
2009,35,1,0
2014,30,1,0
2015,39,2,0
2007,29,7,0
2007,32,1,0
2007,32,4,0
2008,37,21,0
2012,30,50,1
2012,25,2,0
2013,36,9,0
2016,33,12,0
2012,29,39,1
2015,29,1,0
2016,33,4,0
2010,33,11,0
2009,39,1,0
2009,30,1,0
2009,35,1,0
2018,27,18,0
2011,35,6,0
2009,28,3,0
2011,28,5,0
2016,32,29,0
2007,31,11,0
2007,33,5,0
2017,28,7,0
2018,38,1,0
2007,35,4,0
2008,35,2,0
2010,36,1,0
2018,25,9,0
2016,24,3,0
2015,33,22,0
2014,38,20,0
2017,36,3,0
2010,39,1,0
2016,33,21,1
2014,37,1,0
2010,31,2,0
2009,20,3,0
2013,39,8,0
2012,28,24,0
2009,23,1,0
2008,31,1,0
2013,30,4,0
2007,32,50,1
2018,27,1,0
2009,31,1,0
2016,29,1,0
2014,40,2,0
2011,36,1,0
2011,32,1,0
2011,25,3,0
2017,35,11,0
2018,33,2,0
2011,39,3,0
2018,28,11,0
2009,31,3,0
2011,30,2,0
2013,27,4,0
2011,28,1,0
2018,35,8,0
2007,32,7,0
2009,37,10,0
2013,36,10,0
2007,32,50,0
2016,31,28,1
2015,32,11,0
2009,24,1,0
2009,39,1,0
2010,39,1,0
2017,34,7,0
2007,31,12,0
2007,33,5,0
2013,27,6,0
2010,27,1,0
2018,38,50,0
2007,29,2,0
2013,34,21,0
2017,35,5,0
2017,33,19,0
2017,33,4,0
2011,35,2,0
2008,33,5,0
2010,37,1,0
2018,29,3,0
2011,39,1,0
2011,37,1,0
2011,36,16,0
2016,33,3,0
2012,24,4,0
2008,26,1,0
2015,32,1,0
2018,27,2,0
2017,39,18,0
2010,34,10,0
2012,36,12,0
2016,31,18,1
2014,38,2,0
2012,34,8,0
2010,23,5,0
2011,33,2,0
2009,27,2,0
2007,38,2,0
2017,35,2,0
2010,37,1,0
2012,28,2,0
2009,38,6,0
2010,28,3,0
2014,29,6,0
2009,31,5,0
2012,25,1,0
2013,29,50,0
2014,26,5,0
2009,36,2,0
2009,37,1,0
2017,23,1,0
2010,38,1,0
2007,32,50,0
2016,30,2,0
2007,26,2,0
2018,35,5,0
2015,25,3,0
2008,32,5,0
2010,34,1,0
2016,30,7,0
2015,33,32,0
2008,33,10,0
2017,30,3,0
2016,32,31,1
2007,30,2,0
2012,27,25,0
2015,34,3,0
2007,29,15,0
2014,26,28,0
2015,30,12,0
2010,24,1,0
2010,25,25,0
2007,33,50,1
2007,26,1,0
2011,36,10,0
2018,37,9,0
2008,29,9,0
2007,39,3,0
2011,28,50,0
2012,36,3,0
2016,38,9,0
2011,34,2,0
2016,37,25,0
2007,32,30,1
2007,33,50,1
2012,28,8,0
2017,30,6,0
2007,33,40,1
2013,24,2,0
2009,22,1,0
2017,38,3,0
2012,29,31,0
2007,33,50,1
2014,30,2,0
2013,31,1,0
2007,35,2,0
2013,35,7,0
2009,35,5,0
2007,38,5,0
2018,33,30,0
2012,37,10,0
2017,24,7,0
2010,35,5,0
2008,35,10,0
2013,32,44,0
2007,38,5,0
2007,33,50,0
2017,33,8,1
2014,29,3,0
2012,29,1,0
2011,28,2,0
2012,27,19,1
2014,30,3,0
2013,35,31,1
2012,28,5,0
2007,39,2,0
2014,32,17,0
2010,27,6,0
2015,28,25,0
2013,24,1,0
2018,25,3,0
2016,33,3,0
2010,34,8,0
2011,33,2,0
2014,34,50,0
2015,28,3,0
2016,32,22,0
2012,34,1,0
2011,33,6,0
2017,38,3,0
2018,25,6,0
2016,38,25,1
2007,33,7,1
2014,24,3,0
2007,33,13,0
2008,35,9,0
2007,33,50,0
2007,28,1,0
2009,20,1,0
2018,33,1,0
2016,31,40,1
2010,27,50,0
2015,37,18,0
2010,34,3,0
2012,26,2,0
2014,36,21,1
2013,37,4,0
2018,35,1,0
2014,24,5,0
2010,29,13,0
2013,28,3,0
2008,30,1,0
2012,31,8,0
2007,29,50,0
2008,38,3,0
2010,34,1,0
2007,35,2,0
2010,30,1,0
2013,34,19,0
2016,36,35,0
2008,34,3,0
2008,35,50,0
2007,29,50,0
2012,31,29,1
2008,29,20,0
2013,33,5,0
2016,35,5,0
2009,39,1,0
2018,26,4,0
2015,23,1,0
2007,32,30,0
2015,27,50,0
2014,31,6,0
2014,39,6,1
2010,36,4,0
2018,37,10,0
2012,39,9,0
2007,38,1,0
2010,32,42,0
2014,33,4,0
2007,35,50,0
2008,38,8,0
2007,29,13,0
2010,34,1,0
2013,32,2,0
2010,38,2,0
2014,30,1,0
2010,38,6,0
2011,34,2,0
2015,31,2,1
2012,28,5,0
2012,36,2,0
2013,36,7,0
2012,29,2,0
2007,31,50,0
2015,28,8,0
2010,31,1,0
2013,23,4,0
2015,28,4,0
2018,30,6,1
2015,34,5,0
2013,34,5,0
2008,33,2,0
2008,34,1,0
2014,33,25,0
2015,23,3,0
2010,33,1,0
2009,36,3,0
2010,33,1,0
2017,31,14,0
2010,38,20,0
2007,39,3,0
2008,25,7,0
2014,23,28,0
2010,29,50,1
2015,33,1,0
2007,31,49,0
2015,34,8,0
2010,34,2,0
2015,31,6,0
2018,23,8,0
2009,24,5,0
2016,35,4,0
2008,33,3,0
2007,23,2,0
2010,29,2,0
2017,34,47,1
2007,32,50,0
2011,26,5,0
2009,36,2,0
2018,31,2,0
2012,25,4,0
2018,25,18,0
2007,32,9,0
2018,38,1,0
2007,36,2,0
2018,34,7,0
2012,33,3,0
2015,35,4,0
2018,26,1,0
2010,39,1,0
2014,31,32,1
2009,35,1,0
2007,27,2,0
2015,33,10,0
2009,29,7,0
2012,30,9,0
2007,34,1,0
2012,31,23,0
2010,33,1,0
2009,28,4,0
2012,28,2,0
2009,23,5,0
2009,26,3,0
2018,29,2,0
2009,23,11,0
2008,34,12,0
2009,28,38,0
2014,33,19,1
2011,39,1,0
2015,27,33,0
2007,31,5,0
2016,27,9,0
2013,24,1,0
2011,30,1,0
2014,30,4,0
2018,28,50,1
2015,29,10,0
2017,27,2,0
2015,32,24,0
2010,28,1,0
2018,30,2,0
2014,31,8,0
2012,24,1,0
2015,33,2,0
2008,26,5,0
2015,31,12,0
2013,28,45,0
2012,27,50,0
2016,30,50,1
2017,39,3,0
2012,37,2,0
2012,34,3,0
2011,34,1,0
2011,30,2,0
2007,35,1,0
2015,30,8,0
2011,37,2,0
2016,28,22,0
2008,30,19,0
2015,32,3,0
2010,32,6,0
2010,32,11,0
2015,38,2,0
2013,32,8,0
2012,32,2,0
2007,33,50,1
2016,32,7,0
2007,31,17,0
2007,27,1,0
2007,31,13,0
2007,39,2,0
2011,30,13,0
2013,36,1,0
2007,29,2,0
2014,25,7,0
2014,32,36,0
2013,31,6,0
2007,26,6,0
2012,37,6,0
2016,36,1,0
2015,28,1,0
2016,33,46,1
2017,30,7,0
2013,33,1,0
2007,32,50,0
2010,32,2,0
2015,32,2,0
2007,25,1,0
2017,39,4,0
2008,33,25,0
2012,34,48,0
2012,32,2,0
2013,25,38,0
2009,21,13,0
2007,30,3,0
2007,30,4,0
2009,20,1,0
2008,26,5,0
2010,33,7,0
2009,30,20,0
2008,26,3,0
2012,32,45,1
2012,39,3,0
2009,29,5,0
2008,38,1,0
2016,33,23,0
2010,34,1,0
2011,30,48,0
2008,37,2,0
2009,31,9,0
2014,39,3,0
2014,29,3,0
2012,23,1,0
2018,31,26,0
2008,39,9,0
2012,37,1,0
2008,28,2,0
2017,33,1,0
2007,28,2,0
2007,38,7,0
2017,32,1,0
2012,32,1,0
2008,24,5,0
2007,24,1,0
2011,31,23,1
2010,32,3,0
2016,24,39,0
2015,33,2,0
2016,37,5,0
2013,37,7,0
2014,38,1,0
2018,30,4,0
2011,31,11,0
2016,33,7,1
2010,31,1,0
2008,33,2,0
2007,35,2,0
2010,36,2,0
2018,31,6,1
2008,30,1,0
2013,27,2,0
2007,37,2,0
2015,33,9,0
2018,27,4,0
2015,24,5,0
2016,36,13,0
2007,38,4,0
2010,35,3,0
2017,28,10,1
2014,34,50,0
2013,26,3,0
2010,31,2,0
2014,36,13,0
2009,31,7,0
2007,31,20,0
2018,38,43,0
2007,23,2,0
2013,29,16,0
2014,26,32,0
2007,37,1,0
