YEAR,WEEK,NUMBER,RESULT
2007,39,15,0
2019,25,25,0
2019,25,14,0
2007,37,2,0
2019,25,8,0
2019,25,27,0
2015,36,10,0
2015,22,29,0
2019,25,11,0
2019,25,1,0
2019,25,12,0
2019,25,3,0
2019,25,10,0
2019,25,1,0
2019,25,7,0
2019,25,42,0
2012,25,19,0
2011,27,8,0
2019,25,26,0
2007,26,1,0
2019,25,2,0
2019,25,1,0
2019,25,14,0
2018,23,42,0
2019,25,2,0
2019,25,5,0
2009,23,8,0
2019,25,9,0
2019,25,3,0
2018,23,12,0
2019,25,13,0
2013,38,27,1
2019,25,2,0
2019,25,6,0
2019,25,1,0
2019,25,5,0
2019,25,18,0
2019,25,4,0
2019,25,8,0
2019,25,34,0
2019,25,11,0
2019,25,3,0
2019,25,10,0
2018,23,50,0
2019,25,8,0
2019,25,15,0
2019,25,18,0
2019,25,49,0
2011,23,1,0
2018,23,26,1
2019,25,40,0
2019,25,4,0
2019,25,2,0
2019,25,5,0
2018,23,6,0
2019,25,27,0
2019,25,5,0
2018,23,4,0
2019,25,4,0
2019,25,4,0
2019,25,4,0
2019,25,16,0
2019,25,40,0
2019,25,4,0
2018,23,13,0
2019,25,10,0
2019,25,3,0
2013,36,41,0
2019,25,2,0
2019,25,26,0
2019,25,10,0
2019,25,4,0
2019,25,11,0
2019,25,7,0
2019,25,3,0
2019,25,13,0
2019,25,12,0
2018,23,39,0
2015,29,11,0
2019,25,4,0
2019,25,1,0
2019,25,9,0
2019,25,8,0
2019,25,5,0
2019,25,4,0
2019,25,7,0
2019,25,3,0
2019,25,16,0
2019,25,4,0
2019,25,14,0
2018,23,23,0
2007,32,25,1
2019,25,28,0
2009,29,6,0
2019,25,1,0
2019,25,4,0
2019,25,7,0
2019,25,6,0
2019,25,4,0
2019,25,18,0
2019,25,10,0
2008,31,1,0
2019,25,11,0
2019,25,10,0
2019,25,1,0
2008,35,2,0
2019,25,10,0
2019,25,1,0
2009,38,2,0
2019,25,4,0
2019,25,11,0
2019,25,6,0
2019,25,40,0
2019,25,6,0
2019,25,5,0
2018,23,19,0
2018,23,27,0
2019,25,7,0
2019,25,4,0
2019,25,3,0
2018,23,24,1
2019,25,2,0
2013,24,3,0
2018,23,3,0
2019,25,2,0
2019,25,3,0
2019,25,3,0
2018,23,15,0
2019,25,10,0
2014,34,8,0
2019,25,10,0
2019,25,50,0
2019,25,50,0
2019,25,4,0
2009,39,1,0
2019,25,12,0
2019,25,1,0
2019,25,8,0
2019,25,6,0
2019,25,24,0
2019,25,3,0
2019,25,11,0
2019,25,5,0
2019,25,5,0
2019,25,2,0
2019,25,25,0
2019,25,31,0
2010,23,13,0
2016,31,40,1
2012,27,14,0
2009,36,1,0
2012,36,5,0
2015,38,2,0
2010,30,3,1
2018,24,23,0
2010,31,7,0
2010,26,3,0
2011,27,14,0
2013,25,14,0
2018,24,36,0
2010,37,1,0
2018,24,50,0
2008,36,6,0
2009,35,16,0
2018,24,50,0
2018,24,50,0
2014,39,4,0
2018,24,29,0
2007,32,43,0
2018,24,12,0
2018,24,39,0
2018,24,50,0
2018,24,8,0
2018,24,50,0
2018,24,3,0
2010,33,5,0
2015,26,2,0
2009,34,46,0
2015,23,2,0
2009,22,31,0
2018,24,50,0
2009,30,2,0
2018,24,47,0
2018,24,50,0
2018,24,35,0
2018,24,6,0
2010,33,50,1
2018,24,50,0
2018,24,1,0
2009,24,50,0
2018,24,16,0
2018,24,3,0
2007,27,4,0
2019,26,2,0
2015,36,3,0
2019,26,2,0
2019,26,5,0
2019,26,4,0
2016,28,1,0
2019,26,21,0
2019,26,7,0
2019,26,2,0
2019,26,3,0
2019,26,44,0
2019,26,7,0
2019,26,2,0
2007,34,50,1
2019,26,31,0
2019,26,9,0
2019,26,30,0
2019,26,3,0
2019,26,6,0
2019,26,3,0
2019,26,49,0
2019,26,20,0
2019,26,6,0
2019,26,1,0
2019,26,10,0
2019,26,50,0
2019,26,13,0
2019,26,1,0
2019,26,24,0
2019,26,1,0
2019,26,5,0
2019,26,4,0
2019,26,1,0
2019,26,6,0
2019,26,1,0
2019,26,14,0
2019,26,15,0
2019,26,2,0
2019,26,1,0
2019,26,11,0
2019,26,21,0
2019,26,12,0
2019,26,34,0
2019,26,19,0
2019,26,2,0
2019,26,2,0
2019,26,14,0
2015,27,8,0
2019,26,5,0
2019,26,7,0
2019,26,6,0
2019,26,20,0
2019,26,27,0
2019,26,4,0
2019,26,33,0
2019,26,4,0
2019,26,50,0
2019,26,12,0
2019,26,4,0
2019,26,4,0
2019,26,46,0
2019,26,2,0
2015,31,50,0
2019,26,4,0
2019,26,8,0
2019,26,1,0
2015,38,3,0
2019,26,15,0
2019,26,4,0
2019,26,14,0
2019,26,3,0
2019,26,4,0
2019,26,50,0
2019,26,1,0
2019,26,3,0
2019,26,10,0
2019,26,3,0
2019,26,4,0
2019,26,6,0
2019,26,4,0
2019,26,12,0
2019,26,4,0
2019,26,4,0
2019,26,7,0
2019,26,1,0
2019,26,7,0
2019,26,6,0
2019,26,8,0
2019,26,4,0
2019,26,7,0
2019,26,16,0
2011,37,11,0
2019,26,9,0
2019,26,8,0
2012,31,35,1
2019,26,2,0
2019,26,1,0
2019,26,3,0
2019,26,42,0
2019,26,1,0
2019,26,29,0
2019,26,2,0
2019,26,17,0
2009,24,19,0
2018,25,44,0
2019,26,17,0
2019,26,14,0
2018,25,23,0
2019,26,1,0
2011,25,17,0
2019,26,8,0
2019,26,17,0
2019,26,2,0
2019,26,10,0
2010,25,50,0
2019,26,7,0
2019,26,2,0
2019,26,2,0
2019,26,45,0
2011,36,30,0
2019,26,5,0
2013,32,35,0
2019,26,3,0
2019,26,5,0
2018,25,4,0
2018,25,25,0
2019,26,1,0
2019,26,22,0
2019,26,1,0
2018,25,50,1
2019,26,11,0
2013,35,50,1
2019,26,28,0
2019,26,15,0
2018,25,6,0
2018,25,39,0
2019,26,2,0
2014,33,1,0
2019,26,2,0
2019,26,11,0
2019,26,21,0
2018,25,50,0
2019,26,38,0
2019,26,2,0
2019,26,6,0
2019,26,2,0
2019,26,23,0
2011,36,5,0
2019,26,19,0
